LEXEME	REPLACEMENT	COMMENT
járo ʃak top	járo_ʃak_top	Invalid multi-word string: járo ʃak top (1 cases)
jogoj wuj	jogoj_wuj	Invalid multi-word string: jogoj wuj (1 cases)
iʔjat ʃu	iʔjat_ʃu	Invalid multi-word string: iʔjat ʃu (1 cases)
pak pak	pak_pak	Invalid multi-word string: pak pak (1 cases)
ʃo puʔ	ʃo_puʔ	Invalid multi-word string: ʃo puʔ (1 cases)
ʃeti ʃetoj	ʃeti_ʃetoj	Invalid multi-word string: ʃeti ʃetoj (1 cases)
paj nãn	paj_nãn	Invalid multi-word string: paj nãn (1 cases)
ʃɨm jegat	ʃɨm_jegat	Invalid multi-word string: ʃɨm jegat (1 cases)
ip nakãra	ip_nakãra	Invalid multi-word string: ip nakãra (1 cases)
nam ʃu	nam_ʃu	Invalid multi-word string: nam ʃu (1 cases)
weri weri	weri_weri	Invalid multi-word string: weri weri (1 cases)
ɲoron ɲoron	ɲoron_ɲoron	Invalid multi-word string: ɲoron ɲoron (1 cases)
tsego pɨk	tsego_pɨk	Invalid multi-word string: tsego pɨk (1 cases)
ʃára kaʔ	ʃára_kaʔ	Invalid multi-word string: ʃára kaʔ (1 cases)
ʃahmãj nãn	ʃahmãj_nãn	Invalid multi-word string: ʃahmãj nãn (1 cases)
kãri nãn	kãri_nãn	Invalid multi-word string: kãri nãn (1 cases)
ot puʔ	ot_puʔ	Invalid multi-word string: ot puʔ (1 cases)
ʔõn ʔõn	ʔõn_ʔõn	Invalid multi-word string: ʔõn ʔõn (1 cases)
ameko ʔɨbĩrɨp	ameko_ʔɨbĩrɨp	Invalid multi-word string: ameko ʔɨbĩrɨp (1 cases)
ʒakəɲa kido	ʒakəɲa_kido	Invalid multi-word string: ʒakəɲa kido (1 cases)
gia hɨɨja*	gia_hɨɨja*	Invalid multi-word string: gia hɨɨja* (1 cases)
uuju murũm	uuju_murũm	Invalid multi-word string: uuju murũm (1 cases)
apijo nã	apijo_nã	Invalid multi-word string: apijo nã (1 cases)
akʷanĩ ĩn	akʷanĩ_ĩn	Invalid multi-word string: akʷanĩ ĩn (1 cases)
ɲũk ɨranĩĩn	ɲũk_ɨranĩĩn	Invalid multi-word string: ɲũk ɨranĩĩn (1 cases)
ʔiβot kʷaret	ʔiβot_kʷaret	Invalid multi-word string: ʔiβot kʷaret (1 cases)
ʔɨβao poot	ʔɨβao_poot	Invalid multi-word string: ʔɨβao poot (1 cases)
engora nãm	engora_nãm	Invalid multi-word string: engora nãm (1 cases)
eβo ɲĩĩk	eβo_ɲĩĩk	Invalid multi-word string: eβo ɲĩĩk (1 cases)
piito erom karat	piito_erom_karat	Invalid multi-word string: piito erom karat (1 cases)
ndigu takwa	ndigu_takwa	Invalid multi-word string: ndigu takwa (1 cases)
ereken kɨp	ereken_kɨp	Invalid multi-word string: ereken kɨp (1 cases)
kɨjamiri hek	kɨjamiri_hek	Invalid multi-word string: kɨjamiri hek (1 cases)
ain kɨ	ain_kɨ	Invalid multi-word string: ain kɨ (1 cases)
amsi wakkat	amsi_wakkat	Invalid multi-word string: amsi wakkat (1 cases)
omsain pot	omsain_pot	Invalid multi-word string: omsain pot (1 cases)
jɨ tɨme	jɨ_tɨme	Invalid multi-word string: jɨ tɨme (1 cases)
ameko hĩĩn	ameko_hĩĩn	Invalid multi-word string: ameko hĩĩn (1 cases)
amẽko mẽrã	amẽko_mẽrã	Invalid multi-word string: amẽko mẽrã (1 cases)
kʷatin atʃo	kʷatin_atʃo	Invalid multi-word string: kʷatin atʃo (1 cases)
tawtʃe tʃato	tawtʃe_tʃato	Invalid multi-word string: tawtʃe tʃato (1 cases)
awaw nãko	awaw_nãko	Invalid multi-word string: awaw nãko (1 cases)
ɨkɨ tek	ɨkɨ_tek	Invalid multi-word string: ɨkɨ tek (1 cases)
tʃere ka	tʃere_ka	Invalid multi-word string: tʃere ka (1 cases)
poro ka	poro_ka	Invalid multi-word string: poro ka (1 cases)
poro kap kɨp	poro_kap_kɨp	Invalid multi-word string: poro kap kɨp (1 cases)
akop ka	akop_ka	Invalid multi-word string: akop ka (1 cases)
akã kit	akã_kit	Invalid multi-word string: akã kit (1 cases)
awaw aramira	awaw_aramira	Invalid multi-word string: awaw aramira (1 cases)
kɨp tap	kɨp_tap	Invalid multi-word string: kɨp tap (1 cases)
taj ka	taj_ka	Invalid multi-word string: taj ka (1 cases)
arap kwa	arap_kwa	Invalid multi-word string: arap kwa (1 cases)
poetop at	poetop_at	Invalid multi-word string: poetop at (1 cases)
kem kɨ	kem_kɨ	Invalid multi-word string: kem kɨ (1 cases)
po ape	po_ape	Invalid multi-word string: po ape (1 cases)
awaw tit	awaw_tit	Invalid multi-word string: awaw tit (1 cases)
pẽn ka	pẽn_ka	Invalid multi-word string: pẽn ka (1 cases)
tʃã ka	tʃã_ka	Invalid multi-word string: tʃã ka (1 cases)
pɨt ka	pɨt_ka	Invalid multi-word string: pɨt ka (1 cases)
kɨ toro	kɨ_toro	Invalid multi-word string: kɨ toro (2 cases)
jãj po	jãj_po	Invalid multi-word string: jãj po (1 cases)
jãj ka	jãj_ka	Invalid multi-word string: jãj ka (1 cases)
niã kwa	niã_kwa	Invalid multi-word string: niã kwa (1 cases)
ãpita kwak	ãpita_kwak	Invalid multi-word string: ãpita kwak (1 cases)
piba ka	piba_ka	Invalid multi-word string: piba ka (1 cases)
õpita tit	õpita_tit	Invalid multi-word string: õpita tit (1 cases)
pito erep kwa	pito_erep_kwa	Invalid multi-word string: pito erep kwa (1 cases)
eɨ ape	eɨ_ape	Invalid multi-word string: eɨ ape (1 cases)
amoja pe ɨt	amoja_pe_ɨt	Invalid multi-word string: amoja pe ɨt (1 cases)
tʃobe kwa	tʃobe_kwa	Invalid multi-word string: tʃobe kwa (1 cases)
ni ka	ni_ka	Invalid multi-word string: ni ka (1 cases)
ameko tin	ameko_tin	Invalid multi-word string: ameko tin (1 cases)
kĩ ĩkʷat	kĩ_ĩkʷat	Invalid multi-word string: kĩ ĩkʷat (1 cases)
kiawi tapap	kiawi_tapap	Invalid multi-word string: kiawi tapap (1 cases)
taotse nĩk	taotse_nĩk	Invalid multi-word string: taotse nĩk (1 cases)
taotse pɨɨk	taotse_pɨɨk	Invalid multi-word string: taotse pɨɨk (1 cases)
tseatsí punajntu	tseatsí_punajntu	Invalid multi-word string: tseatsí punajntu (1 cases)
o-taɨp si	o-taɨp_si	Invalid multi-word string: o-taɨp si (1 cases)
ameko tsĩĩt	ameko_tsĩĩt	Invalid multi-word string: ameko tsĩĩt (1 cases)
iimadĩ ĩt	iimadĩ_ĩt	Invalid multi-word string: iimadĩ ĩt (1 cases)
mába mágaá	mába_mágaá	Invalid multi-word string: mába mágaá (1 cases)
gójbé séβ	gójbé_séβ	Invalid multi-word string: gójbé séβ (1 cases)
ìhβ népo	ìhβ_népo	Invalid multi-word string: ìhβ népo (1 cases)
zaβ βa	zaβ_βa	Invalid multi-word string: zaβ βa (1 cases)
pò íʃo mága	pò_íʃo_mága	Invalid multi-word string: pò íʃo mága (1 cases)
pokajna βabí	pokajna_βabí	Invalid multi-word string: pokajna βabí (1 cases)
paβóa ʃìhr	paβóa_ʃìhr	Invalid multi-word string: paβóa ʃìhr (1 cases)
βe màpá	βe_màpá	Invalid multi-word string: βe màpá (1 cases)
à​sáno pír	à​sáno_pír	Invalid multi-word string: à​sáno pír (1 cases)
pò séhβ	pò_séhβ	Invalid multi-word string: pò séhβ (1 cases)
à​ ká	à​_ká	Invalid multi-word string: à​ ká (1 cases)
pèe ákini	pèe_ákini	Invalid multi-word string: pèe ákini (1 cases)
òhj ​o​β	òhj_​o​β	Invalid multi-word string: òhj ​o​β (1 cases)
βa​zer ​o​β	βa​zer_​o​β	Invalid multi-word string: βa​zer ​o​β (1 cases)
djípo séβ	djípo_séβ	Invalid multi-word string: djípo séβ (1 cases)
nékó ʃõ̀hn	nékó_ʃõ̀hn	Invalid multi-word string: nékó ʃõ̀hn (1 cases)
bolip kabee	bolip_kabee	Invalid multi-word string: bolip kabee (1 cases)
βe atí	βe_atí	Invalid multi-word string: βe atí (1 cases)
βe màló	βe_màló	Invalid multi-word string: βe màló (1 cases)
pèe βe màló	pèe_βe_màló	Invalid multi-word string: pèe βe màló (1 cases)
pò tága	pò_tága	Invalid multi-word string: pò tága (1 cases)
pò tígi	pò_tígi	Invalid multi-word string: pò tígi (2 cases)
gó ʃi	gó_ʃi	Invalid multi-word string: gó ʃi (1 cases)
pagó iʃ	pagó_iʃ	Invalid multi-word string: pagó iʃ (1 cases)
paβír ʃiʔ​íĩ́β gaβ	paβír_ʃiʔ​íĩ́β_gaβ	Invalid multi-word string: paβír ʃiʔ​íĩ́β gaβ (1 cases)
póróg pórógá	póróg_pórógá	Invalid multi-word string: póróg pórógá (1 cases)
pò kamá	pò_kamá	Invalid multi-word string: pò kamá (1 cases)
ã̀sáno ​ṍ​hβ	ã̀sáno_​ṍ​hβ	Invalid multi-word string: ã̀sáno ​ṍ​hβ (1 cases)
dajap tapoo	dajap_tapoo	Invalid multi-word string: dajap tapoo (1 cases)
padá mán βáh	padá_mán_βáh	Invalid multi-word string: padá mán βáh (1 cases)
pò sã́	pò_sã́	Invalid multi-word string: pò sã́ (1 cases)
sobo poj	sobo_poj	Invalid multi-word string: sobo poj (1 cases)
kata ja	kata_ja	Invalid multi-word string: kata ja (1 cases)
mãe βa	mãe_βa	Invalid multi-word string: mãe βa (1 cases)
mãlãza ap	mãlãza_ap	Invalid multi-word string: mãlãza ap (1 cases)
bolip βapeʔa	bolip_βapeʔa	Invalid multi-word string: bolip βapeʔa (1 cases)
kuru ei	kuru_ei	Invalid multi-word string: kuru ei (1 cases)
ãbokããlĩ ĩ	ãbokããlĩ_ĩ	Invalid multi-word string: ãbokããlĩ ĩ (1 cases)
pade sepʔa	pade_sepʔa	Invalid multi-word string: pade sepʔa (1 cases)
ii βaloʔa	ii_βaloʔa	Invalid multi-word string: ii βaloʔa (1 cases)
bolip kabe	bolip_kabe	Invalid multi-word string: bolip kabe (1 cases)
βetĩŋaa ʃĩp	βetĩŋaa_ʃĩp	Invalid multi-word string: βetĩŋaa ʃĩp (1 cases)
dajap tapoa	dajap_tapoa	Invalid multi-word string: dajap tapoa (1 cases)
mekopĩ ĩ	mekopĩ_ĩ	Invalid multi-word string: mekopĩ ĩ (1 cases)
morip kabe	morip_kabe	Invalid multi-word string: morip kabe (1 cases)
karab waa	karab_waa	Invalid multi-word string: karab waa (1 cases)
markab napo	markab_napo	Invalid multi-word string: markab napo (1 cases)
kina papɨnã	kina_papɨnã	Invalid multi-word string: kina papɨnã (1 cases)
takt takt	takt_takt	Invalid multi-word string: takt takt (1 cases)
ɲõɲ pektɨ	ɲõɲ_pektɨ	Invalid multi-word string: ɲõɲ pektɨ (1 cases)
ip toto	ip_toto	Invalid multi-word string: ip toto (1 cases)
ɲõɲ mɨt	ɲõɲ_mɨt	Invalid multi-word string: ɲõɲ mɨt (1 cases)
soita pitat	soita_pitat	Invalid multi-word string: soita pitat (1 cases)
õmakɨ ẽẽm	õmakɨ_ẽẽm	Invalid multi-word string: õmakɨ ẽẽm (1 cases)
mɨɨp sõm	mɨɨp_sõm	Invalid multi-word string: mɨɨp sõm (1 cases)
sad maawa**	sad_maawa	Invalid multi-word string: sad maawa** (1 cases)
eb a	eb_a	Invalid multi-word string: eb a (1 cases)
kurundu atu	kurundu_atu	Invalid multi-word string: kurundu atu (1 cases)
dig piku*	dig_piku	Invalid multi-word string: dig piku* (1 cases)
haram napa	haram_napa	Invalid multi-word string: haram napa (1 cases)
tso sesoja	tso_sesoja	Invalid multi-word string: tso sesoja (1 cases)
pari i	pari_i	Invalid multi-word string: pari i (1 cases)
ɨba kuɲambu	ɨba_kuɲambu	Invalid multi-word string: ɨba kuɲambu (1 cases)
soku ɨja	soku_ɨja	Invalid multi-word string: soku ɨja (1 cases)
ɨba pa	ɨba_pa	Invalid multi-word string: ɨba pa (1 cases)
ipá ja	ipá_ja	Invalid multi-word string: ipá ja (1 cases)
maʃipa pa	maʃipa_pa	Invalid multi-word string: maʃipa pa (1 cases)
kaʔa dʒu ze ta	kaʔa_dʒu_ze_ta	Invalid multi-word string: kaʔa dʒu ze ta (1 cases)
ja bapa	ja_bapa	Invalid multi-word string: ja bapa (1 cases)
anija ndʒa	anija_ndʒa	Invalid multi-word string: anija ndʒa (1 cases)
mena ndʒa	mena_ndʒa	Invalid multi-word string: mena ndʒa (1 cases)
mewa ũ	mewa_ũ	Invalid multi-word string: mewa ũ (1 cases)
tuká pipi**	tuká_pipi	Invalid multi-word string: tuká pipi** (1 cases)
wẽti adʒidʒa	wẽti_adʒidʒa	Invalid multi-word string: wẽti adʒidʒa (1 cases)
apɨ mamã	apɨ_mamã	Invalid multi-word string: apɨ mamã (1 cases)
uʔa huta	uʔa_huta	Invalid multi-word string: uʔa huta (1 cases)
kanemá ndea dʒu	kanemá_ndea_dʒu	Invalid multi-word string: kanemá ndea dʒu (1 cases)
apɨ iwamãwamã	apɨ_iwamãwamã	Invalid multi-word string: apɨ iwamãwamã (1 cases)
kiouk uk	kiouk_uk	Invalid multi-word string: kiouk uk (1 cases)
kiosug uk	kiosug_uk	Invalid multi-word string: kiosug uk (1 cases)
tə̃jbe iãn	tə̃jbe_iãn	Invalid multi-word string: tə̃jbe iãn (1 cases)
a mu sem mu sem ap	a_mu_sem_mu_sem_ap	Invalid multi-word string: a mu sem mu sem ap (1 cases)
jabiota a õ	jabiota_a_õ	Invalid multi-word string: jabiota a õ (1 cases)
ʃiririk pao pao	ʃiririk_pao_pao	Invalid multi-word string: ʃiririk pao pao (1 cases)
kun pu	kun_pu	Invalid multi-word string: kun pu (1 cases)
akəritse tip tag at	akəritse_tip_tag_at	Invalid multi-word string: akəritse tip tag at (1 cases)
wej bi adʒiriraða um	wej_bi_adʒiriraða_um	Invalid multi-word string: wej bi adʒiriraða um (1 cases)
mbeki ipad	mbeki_ipad	Invalid multi-word string: mbeki ipad (1 cases)
tẽboaðe ũm	tẽboaðe_ũm	Invalid multi-word string: tẽboaðe ũm (1 cases)
ɨi oŋ	ɨi_oŋ	Invalid multi-word string: ɨi oŋ (1 cases)
oken ɨpɨ	oken_ɨpɨ	Invalid multi-word string: oken ɨpɨ (1 cases)
awiʔa hɨ	awiʔa_hɨ	Invalid multi-word string: awiʔa hɨ (1 cases)
mokiuʔ tiritʔi	mokiuʔ_tiritʔi	Invalid multi-word string: mokiuʔ tiritʔi (1 cases)
hɨ ikɨtsin	hɨ_ikɨtsin	Invalid multi-word string: hɨ ikɨtsin (1 cases)
hamaut siŋ	hamaut_siŋ	Invalid multi-word string: hamaut siŋ (1 cases)
awɨato asap	awɨato_asap	Invalid multi-word string: awɨato asap (1 cases)
hut ɨp	hut_ɨp	Invalid multi-word string: hut ɨp (1 cases)
ara seaupira amujete	ara_seaupira_amujete	Invalid multi-word string: ara seaupira amujete (1 cases)
useywiuhe ete	useywiuhe_ete	Invalid multi-word string: useywiuhe ete (1 cases)
zapuka zaʔi	zapuka_zaʔi	Invalid multi-word string: zapuka zaʔi (1 cases)
mukuy amo nairwi	mukuy_amo_nairwi	Invalid multi-word string: mukuy amo nairwi (1 cases)
zemiʔi ka	zemiʔi_ka	Invalid multi-word string: zemiʔi ka (1 cases)
zawɨ aʔe	zawɨ_aʔe	Invalid multi-word string: zawɨ aʔe (1 cases)
ha ata	ha_ata	Invalid multi-word string: ha ata (1 cases)
ha kaʔa we	ha_kaʔa_we	Invalid multi-word string: ha kaʔa we (1 cases)
tʃipa ʔi	tʃipa_ʔi	Invalid multi-word string: tʃipa ʔi (1 cases)
wate kɨti	wate_kɨti	Invalid multi-word string: wate kɨti (1 cases)
maʔẽ aʔu	maʔẽ_aʔu	Invalid multi-word string: maʔẽ aʔu (1 cases)
kuha oker	kuha_oker	Invalid multi-word string: kuha oker (1 cases)
warirã hu	warirã_hu	Invalid multi-word string: warirã hu (1 cases)
teju kawaru	teju_kawaru	Invalid multi-word string: teju kawaru (1 cases)
pipi anjã	pipi_anjã	Invalid multi-word string: pipi anjã (1 cases)
maʔa raʔo	maʔa_raʔo	Invalid multi-word string: maʔa raʔo (1 cases)
maã taa	maã_taa	Invalid multi-word string: maã taa (1 cases)
kawara kaapura*	kawara_kaapura	Invalid multi-word string: kawara kaapura* (1 cases)
rirĩ ĩ	rirĩ_ĩ	Invalid multi-word string: rirĩ ĩ (1 cases)
mbeɨ tʃusu	mbeɨ_tʃusu	Invalid multi-word string: mbeɨ tʃusu (1 cases)
mbaikã mimisa	mbaikã_mimisa	Invalid multi-word string: mbaikã mimisa (1 cases)
memi kuda	memi_kuda	Invalid multi-word string: memi kuda (1 cases)
mbej tʃusu	mbej_tʃusu	Invalid multi-word string: mbej tʃusu (1 cases)
senja tata	senja_tata	Invalid multi-word string: senja tata (1 cases)
gʷɨʔi pe	gʷɨʔi_pe	Invalid multi-word string: gʷɨʔi pe (1 cases)
ambaj gwatʃu	ambaj_gwatʃu	Invalid multi-word string: ambaj gwatʃu (1 cases)
neme ʃɨ	neme_ʃɨ	Invalid multi-word string: neme ʃɨ (1 cases)
ʃĩ raju	ʃĩ_raju	Invalid multi-word string: ʃĩ raju (1 cases)
ɲu jiʔa	ɲu_jiʔa	Invalid multi-word string: ɲu jiʔa (1 cases)
dʒakaratiɨ oka	dʒakaratiɨ_oka	Invalid multi-word string: dʒakaratiɨ oka (1 cases)
ipaje vaʔe	ipaje_vaʔe	Invalid multi-word string: ipaje vaʔe (1 cases)
eβoʔi pe	eβoʔi_pe	Invalid multi-word string: eβoʔi pe (1 cases)
tʃĩ ĩ	tʃĩ_ĩ	Invalid multi-word string: tʃĩ ĩ (1 cases)
teju gʷasu	teju_gʷasu	Invalid multi-word string: teju gʷasu (1 cases)
ko árape	ko_árape	Invalid multi-word string: ko árape (1 cases)
mokãj mokãj	mokãj_mokãj	Invalid multi-word string: mokãj mokãj (1 cases)
hararaw kujkwe	hararaw_kujkwe	Invalid multi-word string: hararaw kujkwe (1 cases)
ona mawe	ona_mawe	Invalid multi-word string: ona mawe (1 cases)
hajkə̃ tʃə̃ʃə̃aj*	hajkə̃_tʃə̃ʃə̃aj	Invalid multi-word string: hajkə̃ tʃə̃ʃə̃aj* (1 cases)
mẽmɨ kuɲã	mẽmɨ_kuɲã	Invalid multi-word string: mẽmɨ kuɲã (1 cases)
wɨra ha	wɨra_ha	Invalid multi-word string: wɨra ha (1 cases)
tʃeʔe ~ tʃe	tʃeʔe	Invalid multi-word string: tʃeʔe ~ tʃe (1 cases)
etsa ~ etʃa	etsa	Invalid multi-word string: etsa ~ etʃa (1 cases)
ɨʔɨ ~ ʔɨ	ɨʔɨ	Invalid multi-word string: ɨʔɨ ~ ʔɨ (1 cases)
tsenepuka kanatan	tsenepuka_kanatan	Invalid multi-word string: tsenepuka kanatan (1 cases)
memɨra kunia	memɨra_kunia	Invalid multi-word string: memɨra kunia (1 cases)
