Grapheme	IPA	Frequency	CLTS	Examples	Languages
á	?	361	?	-eʔá, abákú, adʒorá	arawete, arikem, arua, aruashi, asurinidotocantins, asurinidoxingu, chiriguano, cintalarga, gaviaoikoloehj, guaja, guaraniparaguay, guarayo, guayakiache, jora, juruna, kaaporurubu, kaiowa, karoarara, kuruaya, makurap, mbya, mekenssakurabiat, monde, munduruku, nheengatu, omagua, purubora, suruipaiter, tapiete, tembe, tupari, warazupauserna, wayampi, xeta, xipaya, yuki, zoro
áe	?	3	?	enáena, kʷimbáe, puráe	chiriguano, juruna, tapiete
ái	?	4	?	kái, pái, wáid	kaiowa, suruipaiter, warazupauserna
áo	?	1	?	ãsáo	suruipaiter
áu	?	1	?	náuhu	xipaya
áya	?	1	?	tukáya	xipaya
áà	?	1	?	máà	gaviaoikoloehj
áá	?	1	?	mááj	suruipaiter
áú	?	2	?	anáúhu, ʔáú	juruna
áĩ	?	1	?	káĩ	gaviaoikoloehj
áɨ	?	1	?	akutipáɨ	kaiowa
áẽ	?	2	?	máẽ, wáẽ	tapiete, xipaya
â	â	2	unrounded open front with_falling_tone vowel	gojâna, kâàj	cintalarga, gaviaoikoloehj
ã	ã	1223	nasalized unrounded open front vowel	-anã-, -iʔã, abookãlĩ	akuntsu, amondawa, anambe, apiaka, arawete, arikem, arua, aruashi, asurinidoxingu, avacanoeiro, aweti, chiriguano, chiripanandevaavaguarani, cintalarga, cocamacocamilla, emerillonteko, gaviaoikoloehj, guaja, guajajara, guaraniparaguay, guarayo, guayakiache, jiahoi, juma, juruna, kaaporurubu, kaiowa, kamayura, karitiana, karoarara, kayabi, kuruaya, makurap, mbya, mekenssakurabiat, monde, munduruku, nheengatu, parakana, parintintin, purubora, sateremawe, siriono, suruipaiter, tapiete, tapirapeapyawa, tembe, tenharim, tupari, urueuwauwau, warazupauserna, wayampi, wayoro, xeta, xipaya, yuki, zoe, zoro
ãa	ã	7	nasalized unrounded open front vowel	iijãajʔa, kãaj, kĩrãa	monde, suruipaiter
ãe	ã	5	nasalized unrounded open front vowel	hãe-ma, mãe, mãek	chiriguano, monde, wayoro
ãi	ã	12	nasalized unrounded open front vowel	ah-ãi, amɨnãip, gʷãinumbɨ	chiriguano, guaraniparaguay, guarayo, kaaporurubu, sateremawe, tapirapeapyawa, xeta, zoro
ãia	ã	1	nasalized unrounded open front vowel	ãia	guayakiache
ão	ã	5	nasalized unrounded open front vowel	ikão, kapitão, kãkãohok	kuruaya, mekenssakurabiat, monde, tapirapeapyawa
ãu	ã	1	nasalized unrounded open front vowel	mãʔjãu	kayabi
ãy	ã	5	nasalized unrounded open front vowel	kãkãy, tʃãytʃãy	kuruaya, wayampi
ãã	ã	19	nasalized unrounded open front vowel	ako-kããj, amookããr, gerepãã	arua, gaviaoikoloehj, monde, sateremawe, suruipaiter, yuki, zoro
ãĩ	ã	5	nasalized unrounded open front vowel	huβãĩ, sĩkãĩ, tãĩrukiatũnda	arawete, emerillonteko, yuki
ãũ	ã	2	nasalized unrounded open front vowel	mãũ, ãũ	tapiete, wayampi
ãɨ	ã	5	nasalized unrounded open front vowel	hãɨ, pãɨ, tãɨp	chiriguano, siriono, tapirapeapyawa
ã̀	ã	1	nasalized unrounded open front vowel	xiʔã̀	gaviaoikoloehj
ã́	ã	17	nasalized unrounded open front vowel	iʃiwã́ʔa, kítã́p, pasã́	arua, gaviaoikoloehj, juruna, karoarara, monde, munduruku, suruipaiter
ã́ã́	ã	1	nasalized unrounded open front vowel	kã́ã́l	monde
ãẽ	ã	4	nasalized unrounded open front vowel	gʷãẽ, mãẽ, owãẽ	chiriguano, siriono, wayampi
è	?	6	?	bolirápè, ipèh, kerè	gaviaoikoloehj
èe	?	1	?	pèe	gaviaoikoloehj
é	?	105	?	alimé, anemakojé, apéta	apiaka, arawete, arua, chiriguano, cintalarga, gaviaoikoloehj, guaja, guaraniparaguay, juruna, kaiowa, kamayura, karoarara, kuruaya, monde, munduruku, nheengatu, omagua, parakana, purubora, siriono, suruipaiter, tapiete, tembe, warazupauserna, wayampi, xeta, xipaya, yuki, zoe
éa	?	2	?	-séa, béréaβ	gaviaoikoloehj, xipaya
ée	?	2	?	kadéek, kaléer	suruipaiter
éo	?	1	?	maréo	kuruaya
éɨ	?	1	?	éɨɲi	warazupauserna
ë	ë	3	centralized unrounded close-mid front vowel	kë, këdɨ, ɲajtë	xeta
ëʒ	ë	1	centralized unrounded close-mid front vowel	këʒi	xeta
ì	?	11	?	bìriʃa, jaʔmì, jiìt	gaviaoikoloehj, karoarara, monde
í	?	136	?	abekaní, ahpí, ajarí	arikem, arua, chiriguano, cintalarga, cocamacocamilla, gaviaoikoloehj, guaja, jora, juruna, karoarara, kuruaya, monde, munduruku, nheengatu, purubora, suruipaiter, tapiete, warazupauserna, xipaya, zoro
ía	?	6	?	alía, itʃía, nuría	cintalarga, gaviaoikoloehj, karoarara, monde
íe	?	1	?	kíe	kuruaya
íi	?	5	?	kiríi, píi, wíirá	gaviaoikoloehj, monde, suruipaiter
íá	?	4	?	aníá, apíáka, batʃíá	juruna
íí	?	4	?	lííp, síítak, tíít	monde, suruipaiter
í̜í	?	1	?	í̜í	gaviaoikoloehj
î	î	1	unrounded close front with_falling_tone vowel	dʒîip	arua
ð	ð	65	voiced dental fricative consonant	aði, aðiwe, aðu	kuruaya, warazupauserna
ñ	?	5	?	pɨrɨñe, uʔuaña, ñomi	chiriguano, juruna, mekenssakurabiat
ò	?	7	?	gòpáko, móòj, pò	gaviaoikoloehj, zoro
òh	?	1	?	jòhβ	gaviaoikoloehj
ó	?	94	?	adó, adʒó, amó	arua, chiriguano, cintalarga, gaviaoikoloehj, guaja, kaiowa, karoarara, kuruaya, mekenssakurabiat, monde, munduruku, purubora, suruipaiter, tapiete, tembe, warazupauserna, zoe, zoro
óh	?	4	?	iʃóhkáli, padápóhaβ, tapóh	gaviaoikoloehj
ós	?	3	?	kósila, lósire, táporósá	gaviaoikoloehj, kuruaya
ów	?	1	?	mbokówewá	purubora
óó	?	6	?	adóóp, panóój, zóój	arua, gaviaoikoloehj, monde, suruipaiter, zoro
óʃ	?	1	?	póʃɨ	chiriguano
õ	õ	376	nasalized rounded close-mid back vowel	abaibitirõnkja, agõkap, akõja	akuntsu, amondawa, apiaka, arawete, arikem, arua, avacanoeiro, aweti, chiriguano, chiripanandevaavaguarani, emerillonteko, gaviaoikoloehj, guaja, guaraniparaguay, guarayo, guayakiache, jiahoi, juma, kaaporurubu, kaiowa, kamayura, karitiana, karoarara, kayabi, kuruaya, makurap, mbya, mekenssakurabiat, monde, munduruku, parakana, parintintin, purubora, sateremawe, siriono, suruiaikewara, suruipaiter, tapiete, tapirapeapyawa, tenharim, tupari, urueuwauwau, warazupauserna, wayampi, wayoro, xeta, yuki, zoe, zoro
õa	õ	8	nasalized rounded close-mid back vowel	agõa, agõapid, aŋõakab	chiriguano, karitiana, parintintin, suruipaiter, tenharim, urueuwauwau
õe	õ	1	nasalized rounded close-mid back vowel	kõera	mbya
õi	õ	1	nasalized rounded close-mid back vowel	i-põiʔam	sateremawe
õo	õ	4	nasalized rounded close-mid back vowel	gõol, jõom, mõot	monde, tupari
õy	õ	1	nasalized rounded close-mid back vowel	pɨkõy	wayampi
õã	õ	4	nasalized rounded close-mid back vowel	agõã, kãnõã, mãnõã	chiripanandevaavaguarani, tupari, wayoro, zoro
õõ	õ	6	nasalized rounded close-mid back vowel	jeχõõ, jõõ, kõõ	arua, siriono, suruipaiter, wayoro, yuki, zoro
õõĩ	õ	1	nasalized rounded close-mid back vowel	õõĩ	suruipaiter
õĩ	õ	2	nasalized rounded close-mid back vowel	jawɨsõĩ, õĩ	wayampi
õǝ̃	õə̃	1	from nasalized rounded close-mid back to nasalized unrounded mid central diphthong	õǝ̃ʔ	makurap
õẽ	õ	1	nasalized rounded close-mid back vowel	ikõẽrõ	munduruku
õẽãi	õ	1	nasalized rounded close-mid back vowel	ekõẽãi	kayabi
ù	?	7	?	bùgu, pabùga, pàkùa	gaviaoikoloehj, juruna
ùh	?	1	?	parùhr	gaviaoikoloehj
ú	?	86	?	abijú, abákú, adúriu	chiriguano, cocamacocamilla, gaviaoikoloehj, jora, juruna, kaiowa, karoarara, kuruaya, mekenssakurabiat, monde, nheengatu, parintintin, purubora, suruipaiter, tapiete, warazupauserna, xeta, xipaya, yuki
úa	?	3	?	iwúa-te, rúa, ulukúa	guaraniparaguay, jora, monde
úi	?	1	?	kúire	warazupauserna
úu	?	1	?	eitúu	chiriguano
úá	?	2	?	kúá, makúá	juruna
úú	?	1	?	túú	monde
û	û	1	rounded close back with_falling_tone vowel	ŋgûj	cintalarga
ā	aː	1	long unrounded open front vowel	haʔāt	sateremawe
ĩ	ĩ	382	nasalized unrounded close front vowel	abookãlĩ, ahĩma, amanĩjũ	akuntsu, amondawa, anambe, apiaka, arawete, arua, asurinidoxingu, aweti, chiriguano, chiripanandevaavaguarani, cintalarga, emerillonteko, gaviaoikoloehj, guaja, guaraniparaguay, guarayo, guayakiache, jiahoi, juma, juruna, kaaporurubu, kaiowa, kamayura, karitiana, karoarara, kayabi, kuruaya, makurap, mbya, mekenssakurabiat, monde, munduruku, nheengatu, omagua, parintintin, purubora, sateremawe, siriono, suruipaiter, tapiete, tapirapeapyawa, tembe, tenharim, tupari, urueuwauwau, wayampi, wayoro, xeta, xipaya, yuki, zoe, zoro
ĩa	ĩ	1	nasalized unrounded close front vowel	kavĩa	chiriguano
ĩi	ĩ	8	nasalized unrounded close front vowel	awĩiwĩi, gĩija, sĩit	chiriguano, juruna, mekenssakurabiat, monde
ĩu	ĩ	1	nasalized unrounded close front vowel	ɲatĩu	chiriguano
ĩã	ĩ	5	nasalized unrounded close front vowel	amĩã, kapusĩã, kĩã	juruna, makurap, suruipaiter, wayoro, xipaya
ĩĩ	ĩ	6	nasalized unrounded close front vowel	bĩĩ, pĩĩn, sĩĩt	arua, makurap, monde, suruipaiter, yuki
ĩũ	ĩ	1	nasalized unrounded close front vowel	ɲatʃĩũ	guarayo
ĩə̃	ĩ	1	nasalized unrounded close front vowel	tʃĩə̃kʷãj	xeta
ĩ̀	ĩ	1	nasalized unrounded close front vowel	ʃihj​ĩ̀​jka	gaviaoikoloehj
ĩ́	ĩ	3	nasalized unrounded close front vowel	apĩ́n, aĩ́hĩ́, sahg​ĩ́	gaviaoikoloehj, munduruku
ŋ	ŋ	580	voiced velar nasal consonant	adiʃiŋ, ai-ʔakaŋ, aimeruŋ	akuntsu, amondawa, anambe, apiaka, arikem, arua, asurinidotocantins, asurinidoxingu, avacanoeiro, aweti, chiriguano, chiripanandevaavaguarani, cintalarga, emerillonteko, gaviaoikoloehj, guajajara, guaraniparaguay, guarayo, guayakiache, jiahoi, jora, juma, juruna, kaaporurubu, kaiowa, kamayura, karitiana, karoarara, kayabi, kuruaya, makurap, mbya, mekenssakurabiat, monde, munduruku, nheengatu, parintintin, purubora, sateremawe, siriono, suruiaikewara, suruipaiter, tapiete, tapirapeapyawa, tembe, tenharim, tupari, urueuwauwau, wayampi, wayoro, xeta, yuki, zoe, zoro
ŋw	ŋ	1	voiced velar nasal consonant	apitŋwat	wayoro
ŋʷ	ŋʷ	32	labialized voiced velar nasal consonant	areŋʷɨra, aŋʷamo, eŋʷaβik	amondawa, chiripanandevaavaguarani, guaraniparaguay, guarayo, kaaporurubu, mbya, mekenssakurabiat, parintintin, suruiaikewara, tenharim, urueuwauwau, wayampi, wayoro, xeta
ŋʷw	ŋ	1	voiced velar nasal consonant	ŋʷwrã	wayoro
ō	oː	1	long rounded close-mid back vowel	arōt	sateremawe
ũ	ũ	234	nasalized rounded close back vowel	aetũʔã, aipũʔũjã, akũj	amondawa, anambe, apiaka, arawete, arikem, asurinidoxingu, aweti, chiriguano, chiripanandevaavaguarani, guaja, guaraniparaguay, guarayo, jiahoi, juruna, kaaporurubu, kaiowa, kamayura, kayabi, kuruaya, makurap, mbya, monde, munduruku, nheengatu, parakana, parintintin, purubora, sateremawe, tapiete, tenharim, urueuwauwau, warazupauserna, wayampi, wayoro, xeta, xipaya, yuki, zoe, zoro
ũa	ũ	4	nasalized rounded close back vowel	pũa, tirũa, ɲatʃiʔũa	chiriguano, parintintin, tenharim, urueuwauwau
ũe	ũ	1	nasalized rounded close back vowel	pɨtũe	chiriguano
ũi	ũ	2	nasalized rounded close back vowel	mukũi, ãpũi	arawete, kaaporurubu
ũã	ũ	2	nasalized rounded close back vowel	kũã, pũã	urueuwauwau, xipaya
ũĩ	ũ	4	nasalized rounded close back vowel	kũĩʔĩ, pikũĩ, ãmũĩ	emerillonteko, nheengatu, urueuwauwau, xipaya
ũũ	ũ	1	nasalized rounded close back vowel	ũũ	kayabi
ǝ̃	ə̃	9	nasalized unrounded mid central vowel	akaɾinǝ̃ʔ, awǝ̃ŋ, jǝ̃j	makurap
ɐ	ɐ	1	unrounded near-open central vowel	iʃupawɐ	apiaka
ɑ̃	ɑ̃	4	nasalized unrounded open back vowel	hɑ̃wɑ̃ʃi, ɑ̃wɨiʃe, ɑ̃ʃoro	tapirapeapyawa
ɑ̃i	ɑ	1	unrounded open back vowel	ɑ̃ip	tapirapeapyawa
ə	ə	234	unrounded mid central vowel	abə, adɨkʷər, akʷəj	amondawa, arawete, arikem, avacanoeiro, emerillonteko, guaja, guajajara, karoarara, makurap, mekenssakurabiat, munduruku, purubora, tembe, tenharim, urueuwauwau, warazupauserna, xeta, zoro
əa	əa	2	from unrounded mid central to unrounded open front diphthong	andəa, kupəa	apiaka
əi	əi	3	from unrounded mid central to unrounded close front diphthong	səi, ɲəi	arikem, makurap, munduruku
əy	əy	2	from unrounded mid central to rounded close front diphthong	məy, ŋəybə	karoarara, munduruku
əí	ə	1	unrounded mid central vowel	pitəí	tembe
əə̃́	ə	1	unrounded mid central vowel	bəə̃́	munduruku
əɨ	əɨ	2	from unrounded mid central to unrounded close central diphthong	əməɨ, əʔəɨ	warazupauserna
ə́	ə́	10	unrounded mid central with_high_tone vowel	dárə́k, kosə́da, məsə́kta	munduruku
ə̃	ə̃	35	nasalized unrounded mid central vowel	anə̃ŋtatam, aŋṍbə̃, dʒə̃ŋdʒə̃ŋ	apiaka, avacanoeiro, karoarara, makurap, munduruku, purubora, xeta
ə̃o	ə	1	unrounded mid central vowel	namiʃə̃op	purubora
ə̃y	ə	1	unrounded mid central vowel	wə̃y	munduruku
ə̃́	ə	6	unrounded mid central vowel	akanasə̃́, nasə̃́ŋ-pə, posə̃́ŋ	munduruku
ɛ	ɛ	2	unrounded open-mid front vowel	tasa'ʔɛ, wɛtok	makurap, suruiaikewara
ɤa	ɤ	1	unrounded close-mid back vowel	ɤaʒo	xeta
ɤo	ɤ	1	unrounded close-mid back vowel	ɤow	avacanoeiro
ɨ	ɨ	3624	unrounded close central vowel	aapɨ, abɨ, abɨku	akuntsu, amondawa, anambe, apiaka, arawete, arikem, arua, aruashi, asurinidotocantins, asurinidoxingu, avacanoeiro, aweti, chiriguano, chiripanandevaavaguarani, cocamacocamilla, emerillonteko, gaviaoikoloehj, guaja, guajajara, guaraniparaguay, guarayo, guayakiache, jiahoi, juma, juruna, kaaporurubu, kaiowa, kamayura, karitiana, karoarara, kayabi, kuruaya, makurap, mbya, mekenssakurabiat, monde, munduruku, nheengatu, omagua, parakana, parintintin, purubora, sateremawe, siriono, suruiaikewara, suruipaiter, tapiete, tapirapeapyawa, tembe, tenharim, tupari, urueuwauwau, warazupauserna, wayampi, wayoro, xeta, xipaya, yuki, zoe, zoro
ɨa	ɨa	130	from unrounded close central to unrounded open front diphthong	aksɨa, akɨa, akɨapa	akuntsu, amondawa, apiaka, arikem, asurinidotocantins, asurinidoxingu, avacanoeiro, aweti, chiriguano, cocamacocamilla, emerillonteko, guajajara, guaraniparaguay, guarayo, jiahoi, juruna, kaaporurubu, kaiowa, kamayura, kayabi, kuruaya, makurap, mbya, omagua, parakana, parintintin, sateremawe, siriono, suruiaikewara, tapiete, tapirapeapyawa, tenharim, tupari, urueuwauwau, wayampi, xeta, xipaya, yuki, zoe
ɨaa	ɨ	1	unrounded close central vowel	pɨaa	guayakiache
ɨai	ɨ	1	unrounded close central vowel	pɨai	kaaporurubu
ɨau	ɨ	5	unrounded close central vowel	dɨau, pɨau	chiriguano, kamayura, kayabi, wayampi, xipaya
ɨe	ɨ	18	unrounded close central vowel	kɨe, mɨeʔɨm, pɨehu	akuntsu, arikem, asurinidotocantins, avacanoeiro, chiriguano, emerillonteko, guajajara, guaraniparaguay, kamayura, karitiana, makurap, mbya, mekenssakurabiat, sateremawe, yuki, zoe
ɨi	ɨi	37	from unrounded close central to unrounded close front diphthong	itakɨrɨiro, javevɨi, jawewɨi	amondawa, apiaka, chiriguano, guaraniparaguay, guarayo, guayakiache, juma, kaaporurubu, kaiowa, kayabi, mekenssakurabiat, parintintin, sateremawe, tapirapeapyawa, tembe, tenharim, urueuwauwau, wayampi, wayoro
ɨo	ɨ	5	unrounded close central vowel	heʔɨtʃɨo, pɨokatu, wɨom	emerillonteko, parakana, tapirapeapyawa
ɨu	ɨu	16	from unrounded close central to rounded close back diphthong	amãndɨu, kɨuʔi, sɨu	amondawa, avacanoeiro, emerillonteko, guarayo, juruna, karoarara, omagua, parintintin, siriono, tenharim, wayampi
ɨá	ɨ	7	unrounded close central vowel	abɨá, amarɨápu, epɨá	chiriguano, juruna, xipaya
ɨã	ɨ	7	unrounded close central vowel	kɨrɨrɨã, mbaʔerumbɨkɨãpe, muʃɨã	chiriguano, guarayo, makurap, purubora, siriono, tapiete, tapirapeapyawa
ɨão	ɨ	1	unrounded close central vowel	ʔɨão	tapirapeapyawa
ɨãã	ɨ	1	unrounded close central vowel	wɨãã	tapiete
ɨí	ɨ	1	unrounded close central vowel	bɨílã	kuruaya
ɨú	ɨ	2	unrounded close central vowel	adɨú, nanɨú	juruna
ɨĩ	ɨ	3	unrounded close central vowel	aʔɨĩ, pɨtuekɨĩ, õmakɨĩnã	karitiana, mbya, wayampi
ɨũ	ɨ	1	unrounded close central vowel	hovɨũ	guaraniparaguay
ɨɨ	ɨː	47	long unrounded close central vowel	atɨɨt, biipkɨɨp, erɨɨtɨ	arua, asurinidotocantins, asurinidoxingu, chiriguano, cintalarga, gaviaoikoloehj, guayakiache, juruna, karitiana, karoarara, makurap, mekenssakurabiat, monde, parakana, sateremawe, siriono, suruiaikewara, suruipaiter, tapirapeapyawa, tupari, wayoro, zoro
ɨɨa	ɨ	1	unrounded close central vowel	ɨɨa	guaraniparaguay
ɨɨi	ɨ	1	unrounded close central vowel	mopirɨɨi	kayabi
ɨ́	ɨ	10	unrounded close central vowel	akɨ́la, bɨ́kit, kakɨ́r	juruna, kaiowa, karoarara, kuruaya, suruipaiter, xipaya
ɨ́i	ɨ	1	unrounded close central vowel	pɨahɨ́i	kaiowa
ɨ́á	ɨ	1	unrounded close central vowel	ipɨ́á	juruna
ɨ̃	ɨ̃	167	nasalized unrounded close central vowel	ajɨ̃tatɨt, akanɨ̃, akɨ̃	amondawa, anambe, apiaka, arawete, asurinidotocantins, asurinidoxingu, avacanoeiro, aweti, chiriguano, chiripanandevaavaguarani, emerillonteko, guaja, guaraniparaguay, guarayo, guayakiache, jiahoi, juma, kaaporurubu, kaiowa, kamayura, karitiana, kayabi, makurap, mbya, mekenssakurabiat, munduruku, parintintin, purubora, sateremawe, siriono, suruiaikewara, tapiete, tapirapeapyawa, tembe, tenharim, tupari, urueuwauwau, wayampi, wayoro, xipaya, zoe
ɨ̃a	ɨ	3	unrounded close central vowel	aekɨ̃a	amondawa, jiahoi, tenharim
ɨ̃i	ɨ	10	unrounded close central vowel	apɨ̃i, apɨ̃imbu, aʔɨ̃i	avacanoeiro, guaraniparaguay, guarayo, kaiowa, kayabi, mbya
ɨ̃y	ɨ	1	unrounded close central vowel	kɨʔɨ̃y	wayampi
ɨ̃ã	ɨ	1	unrounded close central vowel	anarepɨ̃ã	zoe
ɨ̃ĩ	ɨ	1	unrounded close central vowel	mɨ̃ĩnã	karitiana
ɨ̃ɨ̃	ɨ̃	9	nasalized unrounded close central vowel	amɨ̃ɨ̃, bagambagapkɨ̃ɨ̃t, kiirɨ̃ɨ̃n	arua, gaviaoikoloehj, guaja, mekenssakurabiat, suruipaiter, zoro
ɬ	ɬ	1	voiceless alveolar lateral fricative consonant	joɬkap	suruipaiter
ɲ	ɲ	356	voiced palatal nasal consonant	ahaɲ, akoɲa, akʷaɲ	akuntsu, amondawa, anambe, apiaka, arawete, arikem, arua, asurinidoxingu, avacanoeiro, chiriguano, chiripanandevaavaguarani, cintalarga, cocamacocamilla, emerillonteko, guaraniparaguay, guarayo, jiahoi, juruna, kaiowa, karitiana, karoarara, kayabi, kuruaya, makurap, mbya, mekenssakurabiat, monde, munduruku, nheengatu, parakana, parintintin, purubora, sateremawe, siriono, suruipaiter, tapiete, tenharim, tupari, urueuwauwau, warazupauserna, wayoro, xeta, xipaya, yuki, zoe
ɾ	ɾ	12	voiced alveolar tap consonant	akaɾinǝ̃ʔ, ateɾ, atuɾuʔe	emerillonteko, makurap, suruiaikewara
ʃ	ʃ	404	voiceless post-alveolar sibilant fricative consonant	abakaʃi, adiʃiŋ, aiʃo	amondawa, anambe, apiaka, avacanoeiro, chiriguano, chiripanandevaavaguarani, cintalarga, cocamacocamilla, gaviaoikoloehj, guaja, guajajara, guaraniparaguay, jora, juruna, kaaporurubu, kaiowa, karoarara, kuruaya, makurap, mbya, mekenssakurabiat, monde, munduruku, nheengatu, omagua, parakana, purubora, siriono, suruipaiter, tapiete, tapirapeapyawa, urueuwauwau, xeta, xipaya, zoro
ʃs	ʃ	1	voiceless post-alveolar sibilant fricative consonant	ʃsakakɨj	purubora
ʊ	ʊ	1	rounded near-close near-back vowel	dʒakʊj	xeta
ʒ	ʒ	43	voiced post-alveolar sibilant fricative consonant	aʒuru, aʒɨ, boʒa	arawete, asurinidoxingu, avacanoeiro, aweti, cintalarga, gaviaoikoloehj, mekenssakurabiat, monde, nheengatu, purubora, sateremawe, tapiete, tenharim, urueuwauwau, xeta, zoro
ʔ	ʔ	2335	voiceless glottal stop consonant	-eʔá, -iʔã, -le-miʔu	amondawa, anambe, apiaka, arawete, arikem, arua, asurinidotocantins, asurinidoxingu, avacanoeiro, aweti, chiriguano, chiripanandevaavaguarani, cintalarga, cocamacocamilla, emerillonteko, gaviaoikoloehj, guaja, guajajara, guaraniparaguay, guarayo, guayakiache, jiahoi, jora, juma, juruna, kaaporurubu, kaiowa, kamayura, karitiana, karoarara, kayabi, kuruaya, makurap, mbya, mekenssakurabiat, monde, munduruku, nheengatu, parakana, parintintin, purubora, sateremawe, siriono, suruiaikewara, suruipaiter, tapiete, tapirapeapyawa, tembe, tenharim, tupari, urueuwauwau, warazupauserna, wayampi, wayoro, xeta, xipaya, yuki, zoe, zoro
ʔh	ʔh	1	voiceless glottal affricate consonant	eʔhuj	parintintin
ʔs	ʔ	1	voiceless glottal stop consonant	kɨʔsat	sateremawe
ʔw	ʔ	11	voiceless glottal stop consonant	amaʔwa, jemiʔwat, kɨʔwap	aweti, karoarara, kayabi, xeta
ʔʃ	ʔ	4	voiceless glottal stop consonant	koroʔʃit, maʔʃun, piʔʃap	karoarara
ʝ	ʝ	2	voiced palatal fricative consonant	aɨʝe, maniʝu	warazupauserna
ʤ	dʒ	17	voiced post-alveolar sibilant affricate consonant	aʤɨg, aʤɨr, bapaʤu	akuntsu, emerillonteko, munduruku, xeta
ʧ	tʃ	5	voiceless post-alveolar sibilant affricate consonant	daʤekʧó, maʧu, ʧóʔa	cintalarga, kuruaya, monde, munduruku
β	β	595	voiced bilabial fricative consonant	ahɨβaʔe, aiβer, ajahiβ	amondawa, anambe, apiaka, arawete, arikem, arua, asurinidotocantins, asurinidoxingu, avacanoeiro, aweti, chiriguano, chiripanandevaavaguarani, cintalarga, gaviaoikoloehj, guajajara, guaraniparaguay, guarayo, guayakiache, jiahoi, kaiowa, kamayura, kayabi, makurap, mbya, monde, parakana, parintintin, purubora, siriono, suruiaikewara, tapiete, tenharim, tupari, urueuwauwau, wayampi, wayoro, xeta, xipaya, yuki, zoe, zoro
χ	χ	5	voiceless uvular fricative consonant	esuχĩ, jeχõõ, χa	yuki
ṍ	?	17	?	aŋṍbə̃, bórṍ, dʒ​ṍ​ógá	arua, gaviaoikoloehj, kuruaya, munduruku, zoro
ṍa	?	1	?	tʃṍabe	karoarara
ṍṍ	?	4	?	geerṍṍ, ikṍṍl, ikṍṍr	arua, monde, suruipaiter
ẽ	ẽ	337	nasalized unrounded close-mid front vowel	ai-wẽ, aimẽʔe, ajameʔẽ	akuntsu, amondawa, anambe, apiaka, arawete, arua, asurinidoxingu, aweti, chiriguano, chiripanandevaavaguarani, emerillonteko, gaviaoikoloehj, guaja, guaraniparaguay, guarayo, guayakiache, jiahoi, juma, juruna, kaaporurubu, kaiowa, kamayura, karitiana, karoarara, kayabi, kuruaya, makurap, mbya, mekenssakurabiat, monde, munduruku, nheengatu, parakana, parintintin, purubora, sateremawe, siriono, suruipaiter, tapiete, tapirapeapyawa, tembe, tenharim, tupari, urueuwauwau, wayampi, wayoro, xeta, xipaya, yuki, zoe
ẽa	ẽ	11	nasalized unrounded close-mid front vowel	eʔẽahĩm, pẽhẽa, tumahẽa	amondawa, jiahoi, parintintin, tenharim, urueuwauwau
ẽe	ẽ	8	nasalized unrounded close-mid front vowel	gʷẽe, hẽe, kavẽe	chiriguano, monde, wayoro
ẽi	ẽ	2	nasalized unrounded close-mid front vowel	j̃epẽi, uwẽi	guarayo, sateremawe
ẽã	ẽ	3	nasalized unrounded close-mid front vowel	hẽã, pĩrẽã, ẽã	tapiete, tapirapeapyawa, xipaya
ẽõ	ẽ	1	nasalized unrounded close-mid front vowel	pẽõj	tupari
ẽ́	ẽ	1	nasalized unrounded close-mid front vowel	tʃẽ́m	munduruku
ẽẽ	ẽ	12	nasalized unrounded close-mid front vowel	ijesẽẽ, jẽẽj, jẽẽt	arua, gaviaoikoloehj, karitiana, makurap, mekenssakurabiat, tupari, wayoro, yuki, zoro
ỹ	ỹ	10	nasalized rounded close front vowel	atỹnã, mẽjehỹg, mỹnhỹm	karitiana
​	?	12	?	bolig​ó​hβ, bolíβ​a​β, dʒ​ṍ​ógá	arua, gaviaoikoloehj
​h	?	3	?	bolig​ó​hβ, ʃíbòjk​ò​hβ, ʃíb​ú​hn	gaviaoikoloehj
’	?	1	?	tawɨtu’jɨt	aweti
ⁿdʒ	ⁿdʒ	1	pre-nasalized voiced post-alveolar affricate consonant	ⁿdʒoitkap	cintalarga
